year,school_type,school_type_num
24,Alternative Schools of Choice,1
24,Continuation High Schools,2
24,County Community,3
24,District Community Day Schools,4
24,Elemen Schools In 1 School Dist. (Public),5
24,Elementary Schools (Public),6
24,High Schools (Public),7
24,High Schools In 1 School Dist. (Public),8
24,Intermediate/Middle Schools (Public),9
24,Junior High Schools (Public),10
24,Juvenile Court Schools,11
24,K-12 Schools (Public),12
24,Opportunity Schools,13
24,Special Education Schools (Public),14
24,Preschool,15
